"type","prov","dwar","week","rr","lci","uci","deaths","attr","attr_low","attr_hi"
"Firearms","Ilocos Sur","2016-41",24,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2016-42",25,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2016-43",26,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2016-44",27,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2016-45",28,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2016-46",29,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2016-47",30,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2016-48",31,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2016-49",32,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2016-50",33,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2016-51",34,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2016-52",35,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-01",36,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-02",37,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-03",38,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-04",39,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-05",40,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-06",41,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-07",42,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-08",43,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-09",44,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-10",45,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-11",46,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-12",47,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-13",48,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-14",49,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-15",50,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-16",51,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-17",52,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-18",53,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-19",54,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-20",55,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-21",56,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-22",57,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-23",58,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-24",59,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-25",60,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-26",61,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-27",62,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-28",63,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-29",64,NA,NA,NA,NA,NA,NA,NA
"Firearms","Ilocos Sur","2017-30",65,NA,NA,NA,NA,NA,NA,NA
