"prov","type","signif_week"
"Rizal","Pneumonia","2016-40"
"Rizal","Pneumonia","2016-41"
"Rizal","Pneumonia","2016-42"
"Rizal","Pneumonia","2016-43"
"Rizal","Pneumonia","2017-39"
"Rizal","Pneumonia","2017-40"
"Rizal","Pneumonia","2018-41"
"Aklan","Pneumonia","2016-35"
"Iloilo","Pneumonia","2016-22"
"Iloilo","Pneumonia","2016-29"
"Iloilo","Pneumonia","2016-33"
"Iloilo","Pneumonia","2016-34"
"Iloilo","Pneumonia","2016-37"
"Iloilo","Pneumonia","2016-42"
"Negros Occidental","Pneumonia","2016-51"
"Negros Occidental","Pneumonia","2018-47"
"Negros Occidental","Pneumonia","2019-05"
"Negros Occidental","Pneumonia","2019-50"
"Bohol","Pneumonia","2016-19"
"Bohol","Pneumonia","2016-20"
"Bohol","Pneumonia","2016-21"
"Bohol","Pneumonia","2016-22"
"Bohol","Pneumonia","2016-23"
"Bohol","Pneumonia","2016-24"
"Bohol","Pneumonia","2016-25"
"Bohol","Pneumonia","2016-26"
"Bohol","Pneumonia","2016-27"
"Bohol","Pneumonia","2016-28"
"Bohol","Pneumonia","2016-29"
"Bohol","Pneumonia","2016-30"
"Bohol","Pneumonia","2016-31"
"Bohol","Pneumonia","2016-32"
"Bohol","Pneumonia","2016-33"
"Bohol","Pneumonia","2016-34"
"Bohol","Pneumonia","2016-35"
"Bohol","Pneumonia","2016-36"
"Bohol","Pneumonia","2016-37"
"Bohol","Pneumonia","2016-38"
"Bohol","Pneumonia","2016-39"
"Cebu","Pneumonia","2016-36"
"Cebu","Pneumonia","2016-37"
"Cebu","Pneumonia","2016-38"
"Cebu","Pneumonia","2016-39"
"Cebu","Pneumonia","2016-40"
"Cebu","Pneumonia","2016-41"
"Cebu","Pneumonia","2016-42"
"Cebu","Pneumonia","2016-43"
"Cebu","Pneumonia","2016-44"
"Cebu","Pneumonia","2016-45"
"Cebu","Pneumonia","2019-09"
"Cebu","Pneumonia","2019-10"
"Cebu","Pneumonia","2019-11"
"Cebu","Pneumonia","2019-12"
"Cebu","Pneumonia","2019-13"
"Negros Oriental","Pneumonia","2019-01"
"Negros Oriental","Pneumonia","2019-02"
"Negros Oriental","Pneumonia","2019-03"
"Negros Oriental","Pneumonia","2019-04"
"Negros Oriental","Pneumonia","2019-05"
"Negros Oriental","Pneumonia","2019-06"
"Negros Oriental","Pneumonia","2019-07"
"Negros Oriental","Pneumonia","2019-08"
"Negros Oriental","Pneumonia","2019-09"
"Negros Oriental","Pneumonia","2019-10"
"Negros Oriental","Pneumonia","2019-11"
"Negros Oriental","Pneumonia","2019-12"
"Negros Oriental","Pneumonia","2019-13"
"Negros Oriental","Pneumonia","2019-14"
"Negros Oriental","Pneumonia","2019-15"
"Negros Oriental","Pneumonia","2019-16"
"Negros Oriental","Pneumonia","2019-17"
