"type","prov","dwar","week","rr","lci","uci","deaths","attr","attr_low","attr_hi"
"Other Causes","South Cotabato","2016-50",33,1.08665379313258,1.03116599573811,1.14512742954076,106,8.45283210724734,3.13647497874651,13.274576675095
"Other Causes","South Cotabato","2016-51",34,1.07846944580149,1.02332788053341,1.13658228965785,111,8.07636091859096,2.64701536181565,13.3520331575619
"Other Causes","South Cotabato","2016-52",35,1.07066914190004,1.01442234691596,1.13003465953018,97,6.40245104303595,1.5519612285727,11.1795835279547
"Other Causes","South Cotabato","2017-01",36,1.06333958914004,1.00520045974712,1.1248413894647,100,5.95666612876346,0.530632409329408,11.0873340932009
"Other Causes","South Cotabato","2017-02",37,1.05647187023625,0.996197019797876,1.12039364746035,102,5.45223297124726,-0.445775197363833,11.0356726030118
"Other Causes","South Cotabato","2017-03",38,1.0500576655232,0.987785315424806,1.1162558135923,81,3.86137927516504,-1.1215304042546,8.5330548172402
"Other Causes","South Cotabato","2017-04",39,1.04408923616336,0.98020505831042,1.1121370205447,109,4.60279310939534,-2.21990917023165,11.1962203454742
"Other Causes","South Cotabato","2017-05",40,1.03855940858921,0.973599135700998,1.10785394688397,99,3.67565053935401,-2.65525811251457,9.78219195655047
"Other Causes","South Cotabato","2017-06",41,1.03346156013548,0.96804263220286,1.1033014050706,98,3.17305744090458,-3.24213520618886,9.36281245580713
"Other Causes","South Cotabato","2017-07",42,1.02878960582116,0.963561315008166,1.09843352629478,103,2.882347744185,-3.78768400664152,9.38932332098193
"Other Causes","South Cotabato","2017-08",43,1.02453798624452,0.960140848306389,1.09325427317202,103,2.46688030811771,-4.23284861029636,8.82844688361165
"Other Causes","South Cotabato","2017-09",44,1.02070165655719,0.957728119276543,1.08781589548146,110,2.230996889896,-4.82813850431219,8.67539014078405
"Other Causes","South Cotabato","2017-10",45,1.01727607648696,0.956225098125687,1.08222490480654,97,1.64732018964012,-4.44561965147901,7.08294363434165
"Other Causes","South Cotabato","2017-11",46,1.01425720138142,0.955474758412117,1.07665604088137,81,1.13860006152501,-3.81979623225465,5.5059624275865
"Other Causes","South Cotabato","2017-12",47,1.01164147424791,0.955238740345509,1.07137454669009,99,1.13924347694391,-4.61877311436588,6.2513873908127
"Other Causes","South Cotabato","2017-13",48,1.00942581876767,0.955169838076804,1.06676367173232,104,0.971131442857589,-4.71759262323175,6.06369744437721
"Other Causes","South Cotabato","2017-14",49,1.00760763326514,0.95479305913842,1.06334365640481,124,0.936224075457659,-5.76769931775267,6.97192047383038
"Other Causes","South Cotabato","2017-15",50,1.00622440478508,0.953585788037849,1.0617687107821,85,0.525801604707177,-4.02919323757779,4.67906218613077
"Other Causes","South Cotabato","2017-16",51,1.00551187299064,0.951738136622503,1.06232385550204,91,0.49883094931188,-4.4798928683523,5.29394112558174
"Other Causes","South Cotabato","2017-17",52,1.00550820576497,0.949828852760507,1.06445150504984,103,0.564237258869735,-5.29154047521769,6.20180750838775
"Other Causes","South Cotabato","2017-18",53,1.00621339535214,0.948331444308758,1.06762820431846,101,0.623677773984296,-5.50826873165863,6.35956956251067
"Other Causes","South Cotabato","2017-19",54,1.00762893352471,0.947595210774839,1.07146601853963,97,0.734403833867642,-5.31445109666961,6.4604914440116
"Other Causes","South Cotabato","2017-20",55,1.00975781684445,0.947861541515133,1.07569597881211,104,1.00500628457081,-5.98599333445484,7.27348050071606
"Other Causes","South Cotabato","2017-21",56,1.01260455723731,0.949291086162389,1.08014075375228,106,1.31945195941048,-5.92200227011725,7.78492440946704
"Other Causes","South Cotabato","2017-22",57,1.01617519793458,0.951986820272456,1.08469152188666,94,1.49626620384021,-4.98045539157145,7.33889782055847
"Other Causes","South Cotabato","2017-23",58,1.02047733485942,0.956009237471115,1.08929281239633,97,1.94644350590801,-4.68184657422583,7.93463174560821
"Other Causes","South Cotabato","2017-24",59,1.02552014356455,0.961383816449038,1.09393516602056,120,2.98620875168925,-5.01797950070803,10.3005527781228
"Other Causes","South Cotabato","2017-25",60,1.03131441185494,0.968101334953122,1.09865504539481,97,2.94526859608765,-3.43517339434936,8.71011911791514
"Other Causes","South Cotabato","2017-26",61,1.03787257825787,0.976110810880883,1.10354221743282,105,3.83151149802145,-2.75475820872885,9.84259383607907
