"prov","signif_week"
"Pampanga","2019-12"
"Tarlac","2016-19"
"Tarlac","2016-20"
"Tarlac","2016-21"
"Tarlac","2016-22"
"Tarlac","2016-23"
"Tarlac","2016-24"
"Tarlac","2016-25"
"Tarlac","2016-26"
"Tarlac","2016-27"
"Tarlac","2016-28"
"Tarlac","2016-29"
"Tarlac","2016-30"
"Tarlac","2016-31"
"Tarlac","2016-32"
"Tarlac","2016-33"
"Tarlac","2016-34"
"Tarlac","2016-35"
"Tarlac","2016-36"
"Tarlac","2016-37"
"Tarlac","2016-38"
"Tarlac","2016-39"
"Tarlac","2016-40"
"Tarlac","2016-41"
"Tarlac","2016-42"
"Tarlac","2016-43"
"Tarlac","2016-44"
"Tarlac","2016-45"
"Tarlac","2016-46"
"Tarlac","2016-47"
"Tarlac","2016-48"
"Tarlac","2016-49"
"Tarlac","2016-50"
"Tarlac","2016-51"
"Tarlac","2016-52"
"Tarlac","2017-01"
"Tarlac","2017-02"
"Tarlac","2017-03"
"Tarlac","2017-04"
"Tarlac","2017-05"
"Tarlac","2017-06"
"Tarlac","2017-07"
"Tarlac","2017-24"
"Tarlac","2017-25"
"Tarlac","2017-26"
"Tarlac","2017-27"
"Tarlac","2017-28"
"Tarlac","2017-29"
"Tarlac","2017-30"
"Tarlac","2017-31"
"Tarlac","2017-32"
"Tarlac","2017-33"
"Tarlac","2018-29"
"Tarlac","2018-30"
"Tarlac","2018-31"
"Tarlac","2018-32"
"Tarlac","2018-33"
"Tarlac","2018-34"
"Tarlac","2018-35"
"Tarlac","2018-36"
"Tarlac","2018-37"
"Tarlac","2018-38"
"Tarlac","2018-39"
"Tarlac","2018-40"
"Tarlac","2018-41"
"Tarlac","2018-42"
"Tarlac","2018-50"
"Tarlac","2018-51"
"Tarlac","2018-52"
"Tarlac","2019-01"
"Tarlac","2019-02"
"Tarlac","2019-03"
"Tarlac","2019-04"
"Tarlac","2019-05"
"Tarlac","2019-06"
"Tarlac","2019-07"
"Tarlac","2019-08"
"Tarlac","2019-09"
"Tarlac","2019-10"
"Tarlac","2019-11"
"Tarlac","2019-12"
"Tarlac","2019-13"
"Tarlac","2019-14"
"Tarlac","2019-15"
"Tarlac","2019-16"
"Tarlac","2019-17"
"Tarlac","2019-18"
"Zambales","2016-19"
"Zambales","2016-20"
"Zambales","2016-21"
"Zambales","2016-22"
"Zambales","2016-23"
"Zambales","2016-24"
"Zambales","2016-25"
"Zambales","2016-26"
"Zambales","2016-27"
"Zambales","2016-28"
"Zambales","2016-29"
"Zambales","2016-30"
"Zambales","2016-31"
"Zambales","2016-32"
"Zambales","2016-33"
"Zambales","2016-34"
"Zambales","2016-35"
"Zambales","2016-36"
"Zambales","2016-37"
"Zambales","2016-38"
"Zambales","2016-39"
"Zambales","2016-40"
"Zambales","2016-41"
"Zambales","2016-42"
"Zambales","2016-43"
"Zambales","2016-44"
"Zambales","2016-45"
"Zambales","2016-46"
"Zambales","2016-47"
"Zambales","2016-48"
"Zambales","2016-49"
"Zambales","2016-50"
"Zambales","2016-51"
"Batangas","2016-27"
"Batangas","2016-28"
"Batangas","2016-29"
"Batangas","2016-30"
"Batangas","2016-31"
"Batangas","2016-32"
"Batangas","2016-33"
"Batangas","2016-34"
"Batangas","2016-35"
"Batangas","2016-36"
"Batangas","2016-37"
"Batangas","2016-38"
"Batangas","2016-39"
"Batangas","2016-40"
"Batangas","2016-41"
"Batangas","2016-42"
"Batangas","2016-43"
"Batangas","2016-44"
"Batangas","2016-45"
"Batangas","2016-46"
"Batangas","2016-47"
"Batangas","2016-48"
"Batangas","2016-49"
"Batangas","2016-50"
"Cavite","2016-19"
"Cavite","2016-20"
"Cavite","2016-21"
"Cavite","2016-22"
"Cavite","2016-23"
"Cavite","2016-24"
"Cavite","2016-25"
"Cavite","2016-26"
"Cavite","2016-27"
"Cavite","2016-28"
"Cavite","2016-29"
"Cavite","2016-30"
"Cavite","2016-31"
"Cavite","2016-32"
"Cavite","2016-33"
"Cavite","2016-34"
"Cavite","2016-35"
"Cavite","2016-36"
"Cavite","2016-37"
"Cavite","2016-38"
"Cavite","2016-39"
"Cavite","2016-40"
"Cavite","2016-41"
"Cavite","2016-42"
"Cavite","2016-43"
"Cavite","2016-44"
"Laguna","2016-19"
"Laguna","2016-20"
"Laguna","2016-21"
"Laguna","2016-22"
"Laguna","2016-23"
"Laguna","2016-24"
"Laguna","2016-25"
"Laguna","2016-26"
"Laguna","2016-27"
"Laguna","2016-28"
"Laguna","2016-29"
"Laguna","2016-30"
"Laguna","2016-31"
"Laguna","2016-32"
"Laguna","2016-33"
"Laguna","2016-34"
"Laguna","2016-35"
"Laguna","2016-36"
"Laguna","2016-37"
"Laguna","2016-38"
"Laguna","2016-39"
"Laguna","2016-40"
"Laguna","2016-41"
"Laguna","2016-42"
"Laguna","2016-43"
"Laguna","2016-44"
"Laguna","2016-45"
"Laguna","2016-46"
"Laguna","2016-47"
"Laguna","2016-48"
"Laguna","2016-49"
"Laguna","2016-50"
"Laguna","2016-51"
"Laguna","2016-52"
"Laguna","2017-01"
"Laguna","2017-02"
"Laguna","2017-03"
"Laguna","2017-04"
"Laguna","2018-31"
"Laguna","2018-32"
"Laguna","2018-33"
"Laguna","2018-34"
"Laguna","2018-35"
"Laguna","2018-36"
"Laguna","2018-37"
"Laguna","2018-38"
"Laguna","2018-39"
"Laguna","2018-40"
"Laguna","2018-41"
"Laguna","2018-42"
"Laguna","2018-43"
"Laguna","2018-44"
"Laguna","2018-45"
"Laguna","2018-46"
"Laguna","2018-47"
"Laguna","2018-48"
"Laguna","2018-49"
"Laguna","2018-50"
"Quezon","2016-19"
"Quezon","2016-20"
"Quezon","2016-21"
"Quezon","2016-22"
"Quezon","2016-23"
"Quezon","2016-24"
"Quezon","2016-25"
"Quezon","2016-26"
"Quezon","2016-27"
"Quezon","2016-28"
"Quezon","2016-29"
"Quezon","2016-30"
"Quezon","2016-31"
"Quezon","2016-32"
"Quezon","2016-33"
"Quezon","2016-34"
"Quezon","2016-35"
"Quezon","2016-36"
"Quezon","2016-37"
"Quezon","2016-38"
"Quezon","2016-39"
"Quezon","2016-40"
"Quezon","2016-41"
"Quezon","2016-42"
"Quezon","2016-43"
"Rizal","2016-19"
"Rizal","2016-20"
"Rizal","2016-21"
"Rizal","2016-22"
"Rizal","2016-23"
"Rizal","2016-24"
"Rizal","2016-25"
"Rizal","2016-26"
"Rizal","2016-27"
"Rizal","2016-28"
"Rizal","2016-29"
"Rizal","2016-30"
"Rizal","2016-31"
"Rizal","2016-32"
"Rizal","2016-33"
"Rizal","2016-34"
"Rizal","2016-35"
"Rizal","2016-36"
"Rizal","2016-37"
"Rizal","2016-38"
"Rizal","2016-39"
"Rizal","2016-40"
"Rizal","2016-41"
"Rizal","2016-42"
"Rizal","2016-43"
"Rizal","2016-44"
"Rizal","2016-45"
"Rizal","2016-46"
"Rizal","2016-47"
"Rizal","2016-48"
"Rizal","2016-49"
"Rizal","2016-50"
"Rizal","2016-51"
"Rizal","2016-52"
"Rizal","2017-01"
"Rizal","2017-02"
"Rizal","2017-03"
"Rizal","2017-04"
"Rizal","2017-05"
"Rizal","2017-06"
"Rizal","2017-07"
"Rizal","2017-08"
"Rizal","2017-09"
"Rizal","2017-10"
"Rizal","2017-11"
"Rizal","2017-12"
"Rizal","2017-13"
"Rizal","2017-14"
"Rizal","2017-15"
"Rizal","2017-16"
"Rizal","2017-17"
"Rizal","2017-18"
"Rizal","2017-19"
"Rizal","2017-20"
"Rizal","2017-21"
"Rizal","2017-22"
"Rizal","2017-23"
"Rizal","2017-24"
"Rizal","2017-25"
"Rizal","2017-26"
"Rizal","2017-27"
"Rizal","2017-28"
"Rizal","2017-29"
"Rizal","2017-30"
"Rizal","2017-31"
"Rizal","2017-32"
"Rizal","2017-33"
"Rizal","2017-34"
"Rizal","2017-35"
"Rizal","2017-36"
"Rizal","2017-37"
"Rizal","2017-38"
"Rizal","2017-39"
"Rizal","2017-40"
"Rizal","2018-16"
"Rizal","2018-17"
"Rizal","2018-18"
"Rizal","2018-19"
"Rizal","2018-20"
"Rizal","2018-21"
"Rizal","2018-22"
"Rizal","2018-23"
"Rizal","2018-24"
"Rizal","2018-25"
"Rizal","2018-26"
"Rizal","2018-27"
"Rizal","2018-28"
"Rizal","2018-29"
"Rizal","2018-30"
"Rizal","2018-31"
"Rizal","2018-32"
"Rizal","2018-33"
"Rizal","2018-34"
"Rizal","2018-35"
"Rizal","2018-36"
"Rizal","2018-37"
"Rizal","2018-38"
"Rizal","2018-39"
"Rizal","2018-40"
"Rizal","2018-41"
"Albay","2016-19"
"Albay","2016-20"
"Albay","2016-21"
"Albay","2016-22"
"Albay","2016-23"
"Albay","2016-24"
"Albay","2016-25"
"Albay","2016-26"
"Albay","2016-27"
"Albay","2016-28"
"Albay","2016-29"
"Albay","2016-30"
"Albay","2016-31"
"Albay","2016-32"
"Albay","2016-33"
"Albay","2016-34"
"Albay","2016-35"
"Albay","2016-36"
"Albay","2016-37"
"Albay","2016-38"
"Albay","2016-39"
"Albay","2016-40"
"Albay","2016-41"
"Albay","2016-42"
"Albay","2016-43"
"Albay","2016-44"
"Albay","2016-45"
"Albay","2016-46"
"Albay","2016-47"
"Albay","2016-48"
"Albay","2016-49"
"Albay","2016-50"
"Albay","2016-51"
"Albay","2016-52"
"Albay","2017-01"
"Albay","2017-02"
"Albay","2017-03"
"Albay","2017-04"
"Albay","2017-05"
"Albay","2017-06"
"Albay","2017-07"
"Albay","2017-08"
"Albay","2017-09"
"Albay","2017-10"
"Albay","2017-11"
"Albay","2017-12"
"Albay","2017-13"
"Albay","2017-14"
"Albay","2017-15"
"Albay","2017-16"
"Albay","2017-17"
"Albay","2017-18"
"Albay","2017-19"
"Albay","2018-12"
"Albay","2018-13"
"Albay","2018-14"
"Albay","2018-15"
"Albay","2018-16"
"Albay","2018-17"
"Albay","2018-18"
"Albay","2018-19"
"Albay","2018-20"
"Albay","2018-21"
"Albay","2018-22"
"Albay","2018-23"
"Albay","2018-24"
"Albay","2018-25"
"Albay","2018-26"
"Albay","2018-27"
"Albay","2018-28"
"Albay","2018-29"
"Albay","2018-30"
"Albay","2018-31"
"Albay","2018-32"
"Albay","2018-33"
"Albay","2018-34"
"Albay","2018-35"
"Albay","2018-36"
"Albay","2018-37"
"Albay","2018-38"
"Albay","2018-39"
"Albay","2018-40"
"Albay","2018-41"
"Albay","2018-42"
"Albay","2018-43"
"Albay","2018-44"
"Albay","2018-45"
"Albay","2018-46"
"Albay","2018-47"
"Albay","2018-48"
"Albay","2018-49"
"Albay","2018-50"
"Albay","2018-51"
"Albay","2018-52"
"Albay","2019-01"
"Albay","2019-02"
"Albay","2019-03"
"Camarines Sur","2016-31"
"Camarines Sur","2016-32"
"Camarines Sur","2016-33"
"Camarines Sur","2016-34"
"Camarines Sur","2016-35"
"Camarines Sur","2016-36"
"Camarines Sur","2016-37"
"Camarines Sur","2016-38"
"Camarines Sur","2016-39"
"Camarines Sur","2016-40"
"Camarines Sur","2016-41"
"Camarines Sur","2016-42"
"Camarines Sur","2016-43"
"Camarines Sur","2016-44"
"Camarines Sur","2016-45"
"Camarines Sur","2016-46"
"Camarines Sur","2019-29"
"Camarines Sur","2019-30"
"Camarines Sur","2019-31"
"Camarines Sur","2019-32"
"Camarines Sur","2019-33"
"Camarines Sur","2019-34"
"Masbate","2016-19"
"Masbate","2016-20"
"Masbate","2016-21"
"Masbate","2016-22"
"Masbate","2016-23"
"Masbate","2016-24"
"Masbate","2016-25"
"Masbate","2016-26"
"Masbate","2016-27"
"Masbate","2016-28"
"Masbate","2016-29"
"Masbate","2016-30"
"Masbate","2016-31"
"Masbate","2016-32"
"Bohol","2016-19"
"Bohol","2016-20"
"Bohol","2016-21"
"Bohol","2016-22"
"Bohol","2016-23"
"Bohol","2016-24"
"Bohol","2016-25"
"Bohol","2016-26"
"Bohol","2016-27"
"Bohol","2016-28"
"Bohol","2016-29"
"Bohol","2016-30"
"Bohol","2016-31"
"Bohol","2016-32"
"Bohol","2016-33"
"Bohol","2016-34"
"Bohol","2016-35"
"Bohol","2016-36"
"Bohol","2016-37"
"Bohol","2016-38"
"Bohol","2016-39"
"Cebu","2016-19"
"Cebu","2016-20"
"Cebu","2016-21"
"Cebu","2016-22"
"Cebu","2016-23"
"Cebu","2016-24"
"Cebu","2016-25"
"Cebu","2016-26"
"Cebu","2016-27"
"Cebu","2016-28"
"Cebu","2016-29"
"Cebu","2016-30"
"Cebu","2016-31"
"Cebu","2016-32"
"Cebu","2016-33"
"Cebu","2016-34"
"Cebu","2016-35"
"Cebu","2016-36"
"Cebu","2016-37"
"Cebu","2016-38"
"Cebu","2016-39"
"Cebu","2016-40"
"Cebu","2016-41"
"Cebu","2016-42"
"Cebu","2016-43"
"Cebu","2016-44"
"Cebu","2016-45"
"Cebu","2016-46"
"Cebu","2016-47"
"Cebu","2016-48"
"Cebu","2016-49"
"Cebu","2016-50"
"Cebu","2016-51"
"Cebu","2018-24"
"Cebu","2018-25"
"Cebu","2018-26"
"Cebu","2018-27"
"Cebu","2018-28"
"Cebu","2018-29"
"Cebu","2018-30"
"Cebu","2018-31"
"Cebu","2018-32"
"Cebu","2018-33"
"Cebu","2018-34"
"Cebu","2018-35"
"Cebu","2018-36"
"Cebu","2018-37"
"Cebu","2018-38"
"Cebu","2018-39"
"Cebu","2018-40"
"Cebu","2018-41"
"Cebu","2018-42"
"Cebu","2018-43"
"Cebu","2018-44"
"Cebu","2018-45"
"Cebu","2018-46"
"Cebu","2018-47"
"Cebu","2018-48"
"Cebu","2018-49"
"Cebu","2018-50"
"Cebu","2018-51"
"Cebu","2018-52"
"Cebu","2019-01"
"Cebu","2019-02"
"Cebu","2019-03"
"Cebu","2019-04"
"Cebu","2019-05"
"Cebu","2019-06"
"Cebu","2019-07"
"Cebu","2019-08"
"Cebu","2019-09"
"Cebu","2019-10"
"Cebu","2019-11"
"Cebu","2019-12"
"Cebu","2019-13"
"Negros Oriental","2016-19"
"Negros Oriental","2016-20"
"Negros Oriental","2016-21"
"Negros Oriental","2016-22"
"Negros Oriental","2016-23"
"Negros Oriental","2016-24"
"Negros Oriental","2016-25"
"Negros Oriental","2016-26"
"Negros Oriental","2016-27"
"Negros Oriental","2016-28"
"Negros Oriental","2016-29"
"Negros Oriental","2016-30"
"Negros Oriental","2017-30"
"Negros Oriental","2017-31"
"Negros Oriental","2017-32"
"Negros Oriental","2017-33"
"Negros Oriental","2017-34"
"Negros Oriental","2017-35"
